ID	Diet	Step	Animal	Bacteroidetes	Firmicutes	Firmicutes:Bacteroidetes
R36	Control	C1	346	990	878	0.886868687
R40	Control	C1	332	2520	3264	1.295238095
R37	Control	C2	332	1351	1892	1.400444115
R41	Control	C2	346	1476	3872	2.623306233
R15	Control	C3	346	1468	2137	1.455722071
R22	Control	C3	332	2023	4973	2.458230351
R16	Control	C4	332	3242	2843	0.876927822
R9	Control	C4	346	1216	2607	2.143914474
R10	Control	CF	332	2694	2181	0.809576837
R2	Control	CF	346	778	1027	1.320051414
R18	Ramp	R1	222	7257	2007	0.276560562
R24	Ramp	R1	343	1063	4193	3.944496707
R8	Ramp	R1	259	991	2523	2.545913219
R12	Ramp	R2	343	1941	2384	1.22823287
R23	Ramp	R2	222	1389	4053	2.917926566
R38	Ramp	R2	259	2145	2834	1.321212121
R11	Ramp	R3	259	2565	1322	0.51539961
R3	Ramp	R3	343	1347	1092	0.810690423
R4	Ramp	R3	222	4214	1247	0.295918367
R13	Ramp	R4	343	2213	1404	0.634432897
R14	Ramp	R4	259	4060	3374	0.831034483
R5	Ramp	R4	222	4121	1249	0.303081776
R20	Ramp	RF	343	1522	8174	5.370565046
R21	Ramp	RF	222	2290	5411	2.362882096
R7	Ramp	RF	259	3243	2985	0.920444033
