	C1	C2	C3	C4	CF	R1	R2	R3	R4	RF
C1	8400	12866	14744	6031	2135	17870	11424	5980	8495	11260
C2	12866	9915	20384	12011	8010	25041	19479	12583	13767	20277
C3	14744	20384	12120	17336	10136	24711	20730	17219	22517	27464
C4	6031	12011	17336	11428	13148	23085	20167	20223	25390	32023
CF	2135	8010	10136	13148	9495	15284	15606	18165	22189	29064
R1	17870	25041	24711	23085	15284	19861	33443	22038	24687	29659
R2	11424	19479	20730	20167	15606	33443	17082	22822	26027	29414
R3	5980	12583	17219	20223	18165	22038	22822	12941	29121	31780
R4	8495	13767	22517	25390	22189	24687	26027	29121	17674	40551
RF	11260	20277	27464	32023	29064	29659	29414	31780	40551	26224
